company_row_index_in_original,description,business_tags,sector,category,niche,text,top1_label,top1_score,top2_label,top2_score,top3_label,top3_score,top4_label,top4_score,top5_label,top5_score,top6_label,top6_score,top7_label,top7_score,top8_label,top8_score,top9_label,top9_score,top10_label,top10_score
965,vilenio ingeniería tecnología spa is a chilean company that specializes in consulting services and multi criteria software they offer consulting for technical evaluations on projects effective support for proposals and decision making in engineering or investment projects and training in decision skills for those involved in projects or technical areas vilenio s consulting service maximizes the value delivery of their clients proposals and business cases through multi riterium technical analysis to solve and find the best solution to problems that comply with the maximum standards of stakeholders stakeholders and beneficiaries while reducing the uncertainty of results their services are specialized for organizations that work on projects or want to technically evaluate investment programs or projects , technical evaluation optimization training for executives and teams project portfolio optimization services total decision software skills training for decision making technical analysis services cost analysis services for construction projects risk analysis services using ahp software software services technical evaluation services software development training programs ,services,business consulting,other scientific and technical consulting services,vilenio ingeniería tecnología spa is a chilean company that specializes in consulting services and multi criteria software they offer consulting for technical evaluations on projects effective support for proposals and decision making in engineering or investment projects and training in decision skills for those involved in projects or technical areas vilenio s consulting service maximizes the value delivery of their clients proposals and business cases through multi riterium technical analysis to solve and find the best solution to problems that comply with the maximum standards of stakeholders stakeholders and beneficiaries while reducing the uncertainty of results their services are specialized for organizations that work on projects or want to technically evaluate investment programs or projects | technical evaluation optimization training for executives and teams project portfolio optimization services total decision software skills training for decision making technical analysis services cost analysis services for construction projects risk analysis services using ahp software software services technical evaluation services software development training programs | services | business consulting | other scientific and technical consulting services,testing and inspection services,0.6683237552642822,health and safety consulting,0.6083767414093018,fishing and hunting services,0.5853413343429565,tilt up concrete services,0.5682281255722046,roofing services with heat application,0.5359936356544495,hvac installation and service,0.5231338143348694,project management services,0.5165173411369324,window and door manufacturing,0.515261709690094,animal day care services,0.5140812397003174,road and highway construction,0.5106511116027832
4598,argex limited is a uk based company that specializes in providing silver products for the silversmithing and jewelry sectors they offer a wide range of semi finished silver products including sheets discs wires rods tubes coils coils anodes and many other half finished formats in various silver alloys their products are used in the production of silver cutlery hollowware and jewelry argex is recognized throughout the uk as a leading stockist of silver products they also offer solder pastes and discs made from all silver sheet alloys silver investment bars and silver price graphs , inorganic chemical manufacturing semi finished formats gold and silver semi finished items constant quality control solder pastes and discs manufacturer silver investment bars sterling silver jewelry supplier services sem finished items supplier ,manufacturing,scrap metals,nonferrous metal except aluminum smelting and refining,argex limited is a uk based company that specializes in providing silver products for the silversmithing and jewelry sectors they offer a wide range of semi finished silver products including sheets discs wires rods tubes coils coils anodes and many other half finished formats in various silver alloys their products are used in the production of silver cutlery hollowware and jewelry argex is recognized throughout the uk as a leading stockist of silver products they also offer solder pastes and discs made from all silver sheet alloys silver investment bars and silver price graphs | inorganic chemical manufacturing semi finished formats gold and silver semi finished items constant quality control solder pastes and discs manufacturer silver investment bars sterling silver jewelry supplier services sem finished items supplier | manufacturing | scrap metals | nonferrous metal except aluminum smelting and refining,testing and inspection services,0.5560622215270996,fishing and hunting services,0.5434874892234802,roofing services with heat application,0.5345662236213684,tilt up concrete services,0.5290237665176392,window and door manufacturing,0.5203660130500793,windows and doors installation,0.510921835899353,health and safety consulting,0.5061002969741821,sheet metal services,0.5058653354644775,sand and gravel mining,0.5028696060180664,non structural steel fabrication,0.49728143215179443
5009,speczakaz is a company that specializes in producing small batches of personalized non proprietary solutions for creative self expression they offer a range of products including stickers labels bags bags and backpacks labels and labels on sticks labels on pouches and labels their products are available for purchase through their online store , belt and leather goods manufacturing custom belts customization of belts with non industrial resin custom made belts and jackets ,manufacturing,beverages refreshments,soft drink manufacturing,speczakaz is a company that specializes in producing small batches of personalized non proprietary solutions for creative self expression they offer a range of products including stickers labels bags bags and backpacks labels and labels on sticks labels on pouches and labels their products are available for purchase through their online store | belt and leather goods manufacturing custom belts customization of belts with non industrial resin custom made belts and jackets | manufacturing | beverages refreshments | soft drink manufacturing,testing and inspection services,0.5423197746276855,tilt up concrete services,0.5237288475036621,fishing and hunting services,0.5170544981956482,health and safety consulting,0.5077711939811707,window and door manufacturing,0.5013405084609985,windows and doors installation,0.4947032034397125,roofing services with heat application,0.4864814579486847,children s clothing manufacturing,0.4758397936820984,hvac installation and service,0.4684990346431732,road and highway construction,0.46393021941185
6580,the fukuoka prefectural central clinic is a beauty clinic located 8 minutes away from fukuokawa station and 1 minute away from kanagawa station in kanagana city japan the clinic offers a range of beauty services including cosmetic surgery beauty orthopedics and beauty dermatology the experienced doctors provide comprehensive care from diagnosis to treatment recommending the best treatment method for each patient s specific condition and condition the clinics offer treatments for a variety of skin conditions such as acne eczema and scars as well as treatments for hair loss tattoo removal and menopause the staff includes experienced doctors and nurses who provide personalized care to their patients , injectable treatments for wrinkles rosacea treatment consultation treatments facial lifting surgery dermal fillers dermatology consultations acne treatment personalized treatment plans wrinkle relaxers ,services,plastic surgery clinics,offices of physicians except mental health specialists ,the fukuoka prefectural central clinic is a beauty clinic located 8 minutes away from fukuokawa station and 1 minute away from kanagawa station in kanagana city japan the clinic offers a range of beauty services including cosmetic surgery beauty orthopedics and beauty dermatology the experienced doctors provide comprehensive care from diagnosis to treatment recommending the best treatment method for each patient s specific condition and condition the clinics offer treatments for a variety of skin conditions such as acne eczema and scars as well as treatments for hair loss tattoo removal and menopause the staff includes experienced doctors and nurses who provide personalized care to their patients | injectable treatments for wrinkles rosacea treatment consultation treatments facial lifting surgery dermal fillers dermatology consultations acne treatment personalized treatment plans wrinkle relaxers | services | plastic surgery clinics | offices of physicians except mental health specialists,testing and inspection services,0.5788982510566711,health and safety consulting,0.5745717287063599,animal day care services,0.5545507073402405,tilt up concrete services,0.5374249815940857,roofing services with heat application,0.5274691581726074,fishing and hunting services,0.5216882228851318,children s clothing manufacturing,0.4977489113807678,window and door manufacturing,0.48425573110580444,well maintenance services,0.47924932837486267,road and highway construction,0.4727414548397064
1595,surfnsafe is a company that provides a solution for individuals who are tired of receiving spam and junk email they offer an easy solution to avoid receiving emails from lists generated by companies that people give their email addresses to users can set up a separate email account to separate from their everyday account and check their email for updates on the status of an order or to see what lists they are on by using their address users can avoid receiving important emails and avoid the hassle of sorting through junk mail , spam and junk mail control ,services,pest services agricultural chemicals,private mail centers,surfnsafe is a company that provides a solution for individuals who are tired of receiving spam and junk email they offer an easy solution to avoid receiving emails from lists generated by companies that people give their email addresses to users can set up a separate email account to separate from their everyday account and check their email for updates on the status of an order or to see what lists they are on by using their address users can avoid receiving important emails and avoid the hassle of sorting through junk mail | spam and junk mail control | services | pest services agricultural chemicals | private mail centers,tilt up concrete services,0.6035605072975159,testing and inspection services,0.5278360247612,window and door manufacturing,0.4839029312133789,fishing and hunting services,0.48275625705718994,health and safety consulting,0.47162699699401855,roofing services with heat application,0.4600214958190918,children s clothing manufacturing,0.4590458273887634,windows and doors installation,0.4560856819152832,animal day care services,0.4400601387023926,road and highway construction,0.43346163630485535
7007,finca el revuelo also known as la finca is a property located in montanchez extremadura situated in a peaceful country area at the foot of the sierra de montanchez the property spans nearly 3 acres and is an excellent example of extremena dehesa with open grassy areas cork and holm oaks olive trees and wild flowers abundant in the springtime the house newly built in stone is ideal for two people and consists of a combined living room kitchen bedroom and bathroom with a covered patio and comfortable furnishings the self sufficient house uses solar power and draws water from a deep well located on the finca relying only on gas for cooking and hot water supply the 65 sqm new natural stone house consists of one bedroom and bathroom , low carbon footprint solar electricity stone house rental charcoal trough hewn in natural rock self sufficient accommodation kerosene ovens gas fired cooking and hot water supply finca rental services accommodations for 2 people olive wood fireplace stove hospitality services ,services,bed and breakfast,all other traveler accommodation,finca el revuelo also known as la finca is a property located in montanchez extremadura situated in a peaceful country area at the foot of the sierra de montanchez the property spans nearly 3 acres and is an excellent example of extremena dehesa with open grassy areas cork and holm oaks olive trees and wild flowers abundant in the springtime the house newly built in stone is ideal for two people and consists of a combined living room kitchen bedroom and bathroom with a covered patio and comfortable furnishings the self sufficient house uses solar power and draws water from a deep well located on the finca relying only on gas for cooking and hot water supply the 65 sqm new natural stone house consists of one bedroom and bathroom | low carbon footprint solar electricity stone house rental charcoal trough hewn in natural rock self sufficient accommodation kerosene ovens gas fired cooking and hot water supply finca rental services accommodations for 2 people olive wood fireplace stove hospitality services | services | bed and breakfast | all other traveler accommodation,tilt up concrete services,0.5798535346984863,window and door manufacturing,0.5518151521682739,roofing services with heat application,0.5305665731430054,fishing and hunting services,0.5297563076019287,road and highway construction,0.5242354869842529,windows and doors installation,0.5163789987564087,testing and inspection services,0.4973497986793518,sand and gravel mining,0.49548807740211487,single family residential construction,0.48152899742126465,health and safety consulting,0.4809492230415344
3971,aménagements cyclables is a french company that provides a platform for users to visualize and access statistics on cycling facilities in france the company s main function is to provide access to the cycling facilities data from the openstreetmap community project , statistics contributions mixed use facilities cycling facilities database cycling statistics consultation shared busways ,services,garbage collection waste disposal,materials recovery facilities,aménagements cyclables is a french company that provides a platform for users to visualize and access statistics on cycling facilities in france the company s main function is to provide access to the cycling facilities data from the openstreetmap community project | statistics contributions mixed use facilities cycling facilities database cycling statistics consultation shared busways | services | garbage collection waste disposal | materials recovery facilities,children s clothing manufacturing,0.5432969927787781,tilt up concrete services,0.5187383890151978,testing and inspection services,0.46491938829421997,health and safety consulting,0.4391738176345825,fishing and hunting services,0.436701238155365,road and highway construction,0.43578046560287476,window and door manufacturing,0.42390671372413635,roofing services with heat application,0.4203375279903412,hvac installation and service,0.41228026151657104,windows and doors installation,0.3946800231933594
1112,à chacune son style is a fashion company that offers affordable clothing options for women their product line includes a variety of clothing items such as dresses skirts jackets and pants with prices ranging from 5 to 15 , fashion retailer affordable fashion fashionable dresses ,manufacturing,clothing stores,cut and sew apparel contractors,à chacune son style is a fashion company that offers affordable clothing options for women their product line includes a variety of clothing items such as dresses skirts jackets and pants with prices ranging from 5 to 15 | fashion retailer affordable fashion fashionable dresses | manufacturing | clothing stores | cut and sew apparel contractors,tilt up concrete services,0.48744237422943115,children s clothing manufacturing,0.4859994947910309,fishing and hunting services,0.4186538755893707,hvac installation and service,0.3999996781349182,window and door manufacturing,0.39797520637512207,testing and inspection services,0.3976092040538788,health and safety consulting,0.38310694694519043,e commerce services,0.3819485902786255,roofing services with heat application,0.37002432346343994,windows and doors installation,0.3687354326248169
8158,d color is a company that specializes in the installation and repair of optical and touch screen computers video conferencing systems data networks and it services they offer a range of services including small repairs data recovery and complete installation of new and used computers telephony and video conf conferenced systems their core services include the installation of optical fiber and touch screens as well as the installation repair and maintenance of data networks they also provide it services such as website creation and banner advertising d color caters to both small and large scale projects and works with both physical and virtual clients , video conferencing installation services supplier it services telecommunications contractor it solutions tv installation and repair services server installation and maintenance data backup and recovery services onsite services ,services,telecommunications,satellite telecommunications,d color is a company that specializes in the installation and repair of optical and touch screen computers video conferencing systems data networks and it services they offer a range of services including small repairs data recovery and complete installation of new and used computers telephony and video conf conferenced systems their core services include the installation of optical fiber and touch screens as well as the installation repair and maintenance of data networks they also provide it services such as website creation and banner advertising d color caters to both small and large scale projects and works with both physical and virtual clients | video conferencing installation services supplier it services telecommunications contractor it solutions tv installation and repair services server installation and maintenance data backup and recovery services onsite services | services | telecommunications | satellite telecommunications,testing and inspection services,0.6502473950386047,health and safety consulting,0.5747823119163513,tilt up concrete services,0.5732249617576599,fishing and hunting services,0.571649968624115,hvac installation and service,0.5530221462249756,windows and doors installation,0.5468571782112122,well maintenance services,0.5362273454666138,window and door manufacturing,0.5357223153114319,roofing services with heat application,0.5245822668075562,children s clothing manufacturing,0.5190178751945496
2152,mansion88 is a mobile application available for android and ios devices that allows users to place bets and make predictions on sports events the app offers a user friendly interface and virtual casinos making betting more convenient and convenient for users the m88 app does not require downloading an application to play as it can be accessed by simply opening the official website and selecting the appropriate section for the event the application also provides information on poker and casino games as well as possibilities for financial transactions m88 is becoming increasingly popular among indonesian users due to its simple system parameters that allow for quick development and profitable betting , m88 steam user friendly interface mobile app development for betting virtual casinos financial transaction services profitability analysis weather forecasting services ,services,casino betting,other gambling industries,mansion88 is a mobile application available for android and ios devices that allows users to place bets and make predictions on sports events the app offers a user friendly interface and virtual casinos making betting more convenient and convenient for users the m88 app does not require downloading an application to play as it can be accessed by simply opening the official website and selecting the appropriate section for the event the application also provides information on poker and casino games as well as possibilities for financial transactions m88 is becoming increasingly popular among indonesian users due to its simple system parameters that allow for quick development and profitable betting | m88 steam user friendly interface mobile app development for betting virtual casinos financial transaction services profitability analysis weather forecasting services | services | casino betting | other gambling industries,tilt up concrete services,0.5489338636398315,testing and inspection services,0.5401550531387329,fishing and hunting services,0.5112028121948242,health and safety consulting,0.4914640784263611,children s clothing manufacturing,0.4735293388366699,online marketing services,0.45901456475257874,well maintenance services,0.45871269702911377,roofing services with heat application,0.45685499906539917,window and door manufacturing,0.45554012060165405,well drilling services,0.4549938440322876
2692,tomten farm goats is a farm located in falmouth massachusetts united states , animal husbandry goats go to the fair goat farming animal breeding and sales dairy cattle and milk production ,manufacturing,livestock animal raising,goat farming,tomten farm goats is a farm located in falmouth massachusetts united states | animal husbandry goats go to the fair goat farming animal breeding and sales dairy cattle and milk production | manufacturing | livestock animal raising | goat farming,children s clothing manufacturing,0.4520640969276428,tilt up concrete services,0.43556302785873413,fishing and hunting services,0.43011313676834106,animal feed manufacturing,0.40505021810531616,animal day care services,0.3971613347530365,dairy production services,0.3954341411590576,road and highway construction,0.38471299409866333,oil and fat manufacturing,0.38049328327178955,window and door manufacturing,0.37992221117019653,health and safety consulting,0.3798398971557617
8283,park vend vending is an independent vending company based in sydney that offers hassle free reliable and efficient vending services to businesses they have a proven track record of providing strong customer service and are committed to meeting their clients business needs while delighting their staff or customers they are known for being the most reliable vending service in sydney and guarantee their services , vending machine installation and maintenance vended food and beverage options ,retail,vending machines,vending machine operators,park vend vending is an independent vending company based in sydney that offers hassle free reliable and efficient vending services to businesses they have a proven track record of providing strong customer service and are committed to meeting their clients business needs while delighting their staff or customers they are known for being the most reliable vending service in sydney and guarantee their services | vending machine installation and maintenance vended food and beverage options | retail | vending machines | vending machine operators,testing and inspection services,0.5604815483093262,tilt up concrete services,0.5281022191047668,fishing and hunting services,0.5241618752479553,health and safety consulting,0.5170660018920898,window and door manufacturing,0.5069755911827087,hvac installation and service,0.503240168094635,children s clothing manufacturing,0.4883100986480713,windows and doors installation,0.48596787452697754,roofing services with heat application,0.4672918915748596,road and highway construction,0.45830124616622925
2894,mirgidrawliki is a company based in moscow that specializes in the repair and maintenance of hydraulic equipment as well as the sale of hydraulic machinery they offer repair services for a wide range of hydraulic components including pumps motors compressors and gearboxes as as well the company also manufactures hydraulic equipment according to customer specifications and sells both domestic and imported hydraulic equipment mirgidrawling is a subsidiary of mirgiddochiki and has been providing hydraulic equipment repair and sales services for over 20 years , ice machine repair services rental services ,manufacturing,pumps hydraulics manufacturing,fluid power pump and motor manufacturing,mirgidrawliki is a company based in moscow that specializes in the repair and maintenance of hydraulic equipment as well as the sale of hydraulic machinery they offer repair services for a wide range of hydraulic components including pumps motors compressors and gearboxes as as well the company also manufactures hydraulic equipment according to customer specifications and sells both domestic and imported hydraulic equipment mirgidrawling is a subsidiary of mirgiddochiki and has been providing hydraulic equipment repair and sales services for over 20 years | ice machine repair services rental services | manufacturing | pumps hydraulics manufacturing | fluid power pump and motor manufacturing,testing and inspection services,0.5777044296264648,tilt up concrete services,0.5705112218856812,fishing and hunting services,0.5342755913734436,health and safety consulting,0.5170055031776428,hvac installation and service,0.5164793133735657,window and door manufacturing,0.5099073648452759,roofing services with heat application,0.5032674670219421,well maintenance services,0.4922327399253845,windows and doors installation,0.490963876247406,children s clothing manufacturing,0.4879411458969116
3761,seroo oil pvt is a licensed indian wheat flour production company located in maharashtra india with over a decade of experience in milling manufacturing seroo has emerged as one of the largest and most trusted brands of wheat atta in maharashtra they offer a variety of fresh and pure whole wheat attas including homemade atta multigrain atta and sharbati atta seroo is the only company that prepares whole wheat flour from grains that are heavy in the palm golden amber in color and chewy making their atta smooth rich in fiber and vitamins they handpick each grain and hand grind the best ones for the best taste and carefully pack them hygienically in sealed airtight packets of varying quantities for delivery seroos aim to improve the health of everyone concerned and generate a decent return on investment in their business , food manufacturing whole grain flour mp sharbati atta producer whole wheat atta multigrain atta manufacturer edible oil fully automated 40 tpd plant ,manufacturing,food production,flour milling,seroo oil pvt is a licensed indian wheat flour production company located in maharashtra india with over a decade of experience in milling manufacturing seroo has emerged as one of the largest and most trusted brands of wheat atta in maharashtra they offer a variety of fresh and pure whole wheat attas including homemade atta multigrain atta and sharbati atta seroo is the only company that prepares whole wheat flour from grains that are heavy in the palm golden amber in color and chewy making their atta smooth rich in fiber and vitamins they handpick each grain and hand grind the best ones for the best taste and carefully pack them hygienically in sealed airtight packets of varying quantities for delivery seroos aim to improve the health of everyone concerned and generate a decent return on investment in their business | food manufacturing whole grain flour mp sharbati atta producer whole wheat atta multigrain atta manufacturer edible oil fully automated 40 tpd plant | manufacturing | food production | flour milling,tilt up concrete services,0.5574675798416138,testing and inspection services,0.5142462253570557,oil and fat manufacturing,0.5140445828437805,fishing and hunting services,0.49953070282936096,roofing services with heat application,0.49594229459762573,health and safety consulting,0.4872749447822571,window and door manufacturing,0.48084065318107605,sand and gravel mining,0.4776279926300049,road and highway construction,0.4706162214279175,grain handling machinery installation,0.46346408128738403
8067,global worksite solutions is a business consulting firm that specializes in creating safe workplace environments they offer a range of solutions including worksite ergonomic furniture solutions and income protection for organizations and their staff the company has partnered with top furniture manufacturers ergonomists and insurance carriers to address workers compensation and save costs for their clients global worksitesolutions prioritizes their customers and provides excellent customer support , worksite benefits products ergonomic furniture solutions customer service center business consulting services education and support on products income protection for organizations and employees ,manufacturing,office furniture,institutional furniture manufacturing,global worksite solutions is a business consulting firm that specializes in creating safe workplace environments they offer a range of solutions including worksite ergonomic furniture solutions and income protection for organizations and their staff the company has partnered with top furniture manufacturers ergonomists and insurance carriers to address workers compensation and save costs for their clients global worksitesolutions prioritizes their customers and provides excellent customer support | worksite benefits products ergonomic furniture solutions customer service center business consulting services education and support on products income protection for organizations and employees | manufacturing | office furniture | institutional furniture manufacturing,health and safety consulting,0.6190991401672363,testing and inspection services,0.6114894151687622,fishing and hunting services,0.557144820690155,tilt up concrete services,0.5430366396903992,hvac installation and service,0.5400882959365845,roofing services with heat application,0.5308748483657837,window and door manufacturing,0.5235815048217773,corporate responsibility services,0.5096749067306519,windows and doors installation,0.5066817998886108,children s clothing manufacturing,0.5040847659111023
2420,mandi wandi is a furniture store located in glen marais they offer a variety of furniture items for sale , wallpaper installation services retail clothing stores e commerce second hand store ,retail,garden equipment supplies,paint and wallpaper retailers,mandi wandi is a furniture store located in glen marais they offer a variety of furniture items for sale | wallpaper installation services retail clothing stores e commerce second hand store | retail | garden equipment supplies | paint and wallpaper retailers,children s clothing manufacturing,0.4641937017440796,tilt up concrete services,0.4428863525390625,e commerce services,0.43369197845458984,hvac installation and service,0.4171387553215027,window and door manufacturing,0.4081535339355469,fishing and hunting services,0.3886869549751282,testing and inspection services,0.37388885021209717,windows and doors installation,0.3698856234550476,roofing services with heat application,0.36244845390319824,online marketing services,0.35585102438926697
9248,huangyuan county chengguan town hospital is a general hospital located in xining qinghai china , general hospitals medical equipment supplier hospitalization services ,services,clinics surgeons physicians,general medical and surgical hospitals,huangyuan county chengguan town hospital is a general hospital located in xining qinghai china | general hospitals medical equipment supplier hospitalization services | services | clinics surgeons physicians | general medical and surgical hospitals,children s clothing manufacturing,0.4053976833820343,hvac installation and service,0.3782545328140259,tilt up concrete services,0.3533629775047302,health and safety consulting,0.33737534284591675,testing and inspection services,0.31354594230651855,general handyman services,0.30461567640304565,mobile home construction services,0.30382040143013,fishing and hunting services,0.302337110042572,e commerce services,0.3019959628582001,veterinary clinics,0.29973527789115906
2375,barış koltuk döşeme is a turkish company that specializes in custom made sofas and furniture with a team of experts in the field they offer modern designs and models to meet the needs of their clients they provide free services such as sofa repair and custom design furniture and are known for their high quality workmanship barıš kontuk is based in istanbul beylikdüzü and is one of the few companies in turkey that offers custom made soffits , furniture upholding services special occasion chairs manufacturer collar upholstery manufacturer ,services,furniture repair reconditioning,reupholstery and furniture repair,barış koltuk döşeme is a turkish company that specializes in custom made sofas and furniture with a team of experts in the field they offer modern designs and models to meet the needs of their clients they provide free services such as sofa repair and custom design furniture and are known for their high quality workmanship barıš kontuk is based in istanbul beylikdüzü and is one of the few companies in turkey that offers custom made soffits | furniture upholding services special occasion chairs manufacturer collar upholstery manufacturer | services | furniture repair reconditioning | reupholstery and furniture repair,tilt up concrete services,0.5572402477264404,testing and inspection services,0.5569330453872681,fishing and hunting services,0.5246981382369995,window and door manufacturing,0.5224342942237854,children s clothing manufacturing,0.5122204422950745,health and safety consulting,0.507866382598877,windows and doors installation,0.5007820725440979,roofing services with heat application,0.49159491062164307,hvac installation and service,0.48185503482818604,road and highway construction,0.4683377146720886
6505,mybeach store is a company that specializes in the production and sale of portable solar panels specifically 100w 18v solar panels and 16inch anchoring kits for canopies tents and landscaping they also offer preassembled canopy tent landscaping and anchoring kit options the company was founded by forrest w cox who has over 10 years of experience in beach canopy service the products are designed to provide reliable and efficient solar energy solutions for various outdoor activities , manufacturing preassembled canopy tent landscaping kits 16inch anchoring kits retail portable solar panels ,manufacturing,fabric based home goods,rope cordage twine tire cord and tire fabric mills,mybeach store is a company that specializes in the production and sale of portable solar panels specifically 100w 18v solar panels and 16inch anchoring kits for canopies tents and landscaping they also offer preassembled canopy tent landscaping and anchoring kit options the company was founded by forrest w cox who has over 10 years of experience in beach canopy service the products are designed to provide reliable and efficient solar energy solutions for various outdoor activities | manufacturing preassembled canopy tent landscaping kits 16inch anchoring kits retail portable solar panels | manufacturing | fabric based home goods | rope cordage twine tire cord and tire fabric mills,testing and inspection services,0.5587942600250244,tilt up concrete services,0.5587548017501831,hvac installation and service,0.5574551820755005,roofing services with heat application,0.5560653805732727,fishing and hunting services,0.5519067049026489,window and door manufacturing,0.549802303314209,windows and doors installation,0.5488651990890503,health and safety consulting,0.520032525062561,road and highway construction,0.5023481845855713,tent manufacturing services,0.4840933680534363
1318,ක ල ත ඹ ල කඩ juice bar is a juice shop located in polonnaruwa north central province sri lanka the establishment specializes in offering a variety of juice options , juice options bottled water production ,manufacturing,beverages refreshments,bottled water manufacturing,ක ල ත ඹ ල කඩ juice bar is a juice shop located in polonnaruwa north central province sri lanka the establishment specializes in offering a variety of juice options | juice options bottled water production | manufacturing | beverages refreshments | bottled water manufacturing,children s clothing manufacturing,0.4031420052051544,tilt up concrete services,0.39613842964172363,e commerce services,0.3675421476364136,hvac installation and service,0.3244746923446655,roofing services with heat application,0.28783541917800903,window and door manufacturing,0.2824026346206665,sand and gravel mining,0.2778272330760956,fishing and hunting services,0.27684712409973145,water treatment services,0.26736927032470703,testing and inspection services,0.26628589630126953
